city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,32,7,13,0.3,5,91,62,6
阿克苏地区,76,55,88,0.55,24,54,31,8
阿拉善盟,43,15,18,0.33,9,102,85,12
阿勒泰地区,0,0,0,0.0,0,0,0,0
阿里地区,31,5,7,0.4,33,53,60,13
安康,68,45,83,0.77,35,78,44,12
安庆,116,87,107,0.86,22,126,83,12
鞍山,92,68,110,1.8,50,63,46,29
安顺,38,26,34,0.78,18,73,46,22
安阳,49,19,48,0.72,30,67,44,15
白城,41,12,28,0.15,12,90,81,6
百色,61,43,67,1.05,23,63,30,11
白山,59,19,66,1.3,10,82,54,12
白银,45,31,0,0.7,27,68,45,16
保定,52,21,51,0.6,32,67,37,11
宝鸡,55,26,57,0.7,27,80,48,5
保山,37,17,36,0.25,7,90,46,5
包头,115,86,135,2.43,54,58,34,103
巴彦淖尔,57,36,61,0.73,16,63,52,26
巴中,67,48,64,0.35,21,107,60,5
北海,87,64,75,1.05,15,128,93,10
北京,55,17,57,0.48,19,62,48,6
蚌埠,80,51,107,0.65,22,94,68,15
本溪,66,39,80,1.37,43,55,35,27
毕节,58,40,62,0.85,32,57,35,20
滨州,69,46,86,0.93,34,68,50,36
博州,57,32,62,0.4,24,74,59,15
亳州,46,23,45,0.8,19,90,64,5
沧州,65,46,77,0.7,30,70,42,25
长春,57,23,62,0.47,24,59,51,12
常德,60,42,51,0.83,22,114,74,8
昌都,20,12,19,1.1,11,51,37,2
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,65,37,77,1.0,14,74,43,17
长沙,113,84,90,1.26,49,87,46,14
常熟,55,38,57,0.6,40,81,62,21
长治,56,32,59,0.98,32,71,52,25
常州,61,43,65,0.76,40,63,39,13
朝阳,38,17,37,0.55,13,72,49,10
潮州,39,26,38,0.83,8,90,70,8
承德,48,14,47,0.58,15,54,32,5
成都,69,49,75,0.61,31,77,52,7
郴州,106,79,103,0.58,30,130,64,15
赤峰,42,16,41,0.25,17,53,49,6
池州,119,89,138,0.93,26,121,76,17
重庆,80,58,81,0.88,38,63,28,7
崇左,54,31,56,0.8,13,91,54,7
楚雄州,25,9,14,0.6,5,71,49,8
滁州,76,55,90,0.7,12,112,86,12
大连,81,59,105,1.37,54,35,38,23
大理州,36,10,21,0.6,10,87,71,5
丹东,72,50,92,1.1,31,53,41,28
大庆,42,16,41,0.34,15,64,55,7
大同,69,49,81,0.83,38,49,32,50
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,31,18,19,0.4,8,67,61,7
达州,122,92,153,2.5,55,70,49,23
德宏州,56,24,60,0.55,11,90,45,8
德阳,88,65,102,0.73,46,71,40,11
德州,78,45,104,1.1,36,74,46,32
定西,42,22,41,0.55,25,67,41,21
迪庆州,33,15,18,0.1,4,78,64,9
东莞,65,46,54,0.75,19,114,86,11
东营,76,40,100,0.57,25,68,45,22
鄂尔多斯,32,11,31,0.62,21,79,56,10
恩施州,60,41,68,0.65,22,78,37,3
鄂州,98,73,112,1.07,31,111,72,11
防城港,65,37,77,1.03,22,118,84,10
佛山,80,58,92,0.96,28,120,79,11
抚顺,70,38,87,1.1,50,48,40,35
阜新,31,10,30,0.3,8,77,59,16
阜阳,54,27,55,0.23,14,102,77,3
富阳,70,50,80,0.8,5,45,34,3
福州,64,45,69,0.84,23,100,75,6
抚州,109,81,121,1.04,19,131,71,13
甘南州,31,7,16,0.7,1,95,60,9
赣州,97,72,99,1.52,22,102,66,12
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,35,24,32,0.4,6,75,62,8
广安,57,31,62,0.62,21,93,50,17
广元,42,14,41,1.0,17,89,37,6
广州,75,54,78,0.92,27,132,97,10
贵港,74,53,69,0.78,15,104,77,12
桂林,63,44,70,0.6,22,110,82,13
贵阳,83,61,91,0.79,40,47,36,31
果洛州,20,4,8,0.3,5,61,29,3
固原,35,9,22,0.9,12,95,69,9
哈尔滨,53,20,54,0.65,24,56,46,20
海北州,42,9,15,0.7,8,92,83,11
海东地区,38,18,37,1.2,20,84,53,42
海口,45,25,44,0.86,9,83,53,6
海门,68,34,83,1.05,35,53,51,14
海南州,43,4,12,0.7,7,111,84,11
海西州,44,4,18,0.9,7,88,86,2
哈密地区,96,71,32,0.5,10,61,40,17
邯郸,72,28,92,0.78,23,81,40,19
杭州,80,58,90,0.77,20,112,69,10
汉中,70,50,71,0.9,24,90,44,10
鹤壁,49,17,48,0.53,32,63,40,13
河池,66,47,64,0.9,20,80,52,9
合肥,43,30,41,0.44,26,95,66,6
鹤岗,87,64,94,0.78,29,47,42,16
黑河,55,28,57,0.87,32,23,24,15
衡水,59,30,66,0.7,25,79,60,25
衡阳,108,80,114,1.28,40,98,44,18
和田地区,59,41,55,0.4,27,53,33,21
河源,58,40,47,0.8,18,113,98,10
菏泽,75,46,97,0.83,34,64,42,19
贺州,74,53,76,0.6,18,118,76,16
红河州,20,6,16,0.83,5,55,38,6
淮安,82,32,111,0.73,26,63,45,15
淮北,57,36,61,0.67,27,70,46,17
怀化,103,76,119,0.9,14,108,63,5
淮南,67,43,82,0.4,18,102,77,11
黄冈,89,66,103,0.55,31,112,72,6
黄南州,28,8,25,1.4,12,58,54,14
黄山,58,40,61,0.57,12,104,75,10
黄石,74,51,96,0.58,21,97,59,7
呼和浩特,82,51,112,1.21,40,43,28,30
惠州,75,54,74,1.06,23,125,95,12
葫芦岛,60,29,68,1.05,38,46,40,46
呼伦贝尔,33,15,22,0.4,8,71,64,3
湖州,88,65,87,0.81,47,87,60,16
佳木斯,49,32,48,0.72,22,52,51,11
吉安,115,86,129,0.7,24,119,62,12
江门,96,71,99,1.13,33,130,84,10
江阴,77,45,101,0.7,39,62,40,17
胶南,94,69,135,1.35,72,49,46,23
胶州,61,33,70,0.7,28,92,68,8
